Field,Range,Description
Bacteroides sp. D22 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HF-162 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HF-5141 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HF-5287 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HMSC067B03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HMSC068A09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HMSC073E02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. HPS0048 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. Marseille-P2653 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. Marseille-P3108 sp. Marseille-P3108 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. Marseille-P3132 sp. Marseille-P3132 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. Marseille-P3166 sp. Marseille-P3166 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. Marseille-P3208T strain Marseille-P3208 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. PHL 2737 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. ZJ-18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides stercorirosoris ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides stercoris ATCC 43183 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides stercoris CC31F ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides stercoris strain CL09T03C01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides stercoris strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides thetaiotaomicron ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides thetaiotaomicron VPI-5482 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides thetaiotaomicron strain 7330 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides timonensis AP1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides uniformis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides vulgatus ATCC 8482 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides xylanisolvens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides zoogleoformans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bariatricus massiliensis strain AT12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Barnesiella intestinihominis YIT 11860 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Barnesiella viscericola DSM 18177 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Beet necrotic yellow vein virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Berryella intestinalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium adolescentis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium adolescentis ATCC 15703 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium adolescentis strain 22L ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium adolescentis strain BBMN23 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium angulatum DSM 20098 = JCM 7096 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium animalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium biavatii DSM 23969 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum BGN4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum BGN4.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum LMG 13195 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum NCIMB 41171 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum PRL2010 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum PRL2010.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum S17 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum S17.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain 156B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain 2789STDY5608877 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain 791 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain 85B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain BF3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain LMG ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium bifidum strain MJR8628B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve 689b ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve 689b.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve ACS-071-V-Sch8b ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve CECT 7263 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve JCM 7017 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve JCM 7019 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium breve MCC 0121 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium catenulatum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium catenulatum subsp. kashiwanohense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium dentium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium dentium Bd1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium dentium JCM 1195 = DSM 20436 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium gallinarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum AGR2137 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum DJO10A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum DJO10A.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum E18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum NCC2705 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum NCC2705.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum isolate Bifido_01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum isolate Bifido_05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum isolate Bifido_06 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum isolate Bifido_09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum strain 379 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum strain BG7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. infantis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. infantis 157F ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. infantis 157F.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. infantis CCUG 52486 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. infantis strain CECT ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. infantis strain IN-07 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum 1-6B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum 17-1B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum 2-2B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum 7-1B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum ATCC 55813 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum BBMN68 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum BBMN68.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum EK13 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum F8 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum GT15 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum GT15.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum JCM 1217 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum JCM 1217.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum JDM301 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum KACC 91563 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum KACC 91563.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain AH1206 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain LO-10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain LO-K29a ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain MC-42 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain NCIMB8809 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain VMKB44 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum strain W11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. longum.1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. suillum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium longum subsp. suis strain BSM11-5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium merycicum DSM 6492 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium merycicum strain LMG ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium mongoliense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium moukalabense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium pseudocatenulatum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
